City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
255,Vittoria,IT,2022-05-20 22:53:43,36.9537,14.5332,61.74,82,100,3.44
256,Behbahan,IR,2022-05-20 22:53:44,30.5959,50.2417,87.26,14,0,5.95
257,Kerchevskiy,RU,2022-05-20 22:53:44,59.946,56.2884,32.65,97,96,4.65
258,Rio Grande,BR,2022-05-20 22:53:44,-32.035,-52.0986,50.11,69,3,4.68
259,Tamworth,GB,2022-05-20 22:53:45,52.634,-1.6959,54.64,77,2,11.74
260,Koutsouras,GR,2022-05-20 22:53:45,35.0339,25.9469,65.1,63,6,6.53
261,Pochutla,MX,2022-05-20 22:53:45,15.7432,-96.4661,87.82,45,59,11.72
262,Niono,ML,2022-05-20 22:53:45,14.2526,-5.993,93.78,24,30,6.78
263,Sioux Lookout,CA,2022-05-20 22:53:46,50.1001,-91.917,35.67,93,100,10.36
264,Maceio,BR,2022-05-20 22:41:12,-9.6658,-35.7353,74.64,83,75,6.91
265,Laela,TZ,2022-05-20 22:53:46,-8.5667,32.05,58.32,72,45,2.57
266,Nago,JP,2022-05-20 22:53:46,26.5881,127.9761,75.45,89,100,14.56
267,Araouane,ML,2022-05-20 22:53:47,18.9048,-3.5265,89.83,11,37,7.45
268,Tonantins,BR,2022-05-20 22:53:47,-2.8731,-67.8022,71.92,88,62,1.88
269,Emerald,AU,2022-05-20 22:51:54,-23.5333,148.1667,61.34,92,98,13.69
270,Ambilobe,MG,2022-05-20 22:53:47,-13.2,49.05,68.99,82,18,3.96
271,Pangkalanbuun,ID,2022-05-20 22:50:12,-2.6833,111.6167,73.83,98,99,0.6
272,Sakakah,SA,2022-05-20 22:53:47,29.9697,40.2064,83.77,19,19,10.85
273,Kurilsk,RU,2022-05-20 22:53:48,45.2333,147.8833,49.15,82,59,2.37
274,Whitianga,NZ,2022-05-20 22:53:48,-36.8333,175.7,59.86,63,27,15.82
275,Bahia Honda,CU,2022-05-20 22:53:48,22.9036,-83.1592,84.13,68,65,12.91
276,Jhawarian,PK,2022-05-20 22:53:49,32.3614,72.6228,83.84,29,10,8.12
277,Zyryanka,RU,2022-05-20 22:53:49,65.75,150.85,52.99,45,74,16.78
278,Atherton,GB,2022-05-20 22:44:00,53.5237,-2.4935,55.22,87,6,1.99
279,Nouna,BF,2022-05-20 22:53:49,12.7333,-3.8667,94.59,27,72,3.76
280,Minsk,BY,2022-05-20 22:53:50,53.9,27.5667,58.75,95,100,11.61
281,Qaqortoq,GL,2022-05-20 22:54:50,60.7167,-46.0333,38.68,80,23,3.58
282,Aginskoye,RU,2022-05-20 22:54:50,51.1,114.53,57.29,32,48,1.79
283,Itarema,BR,2022-05-20 22:54:50,-2.9248,-39.9167,77.67,85,90,5.39
284,Guadalupe Y Calvo,MX,2022-05-20 22:54:51,26.1,-106.9667,66.24,18,0,15.03
285,Mandalgovi,MN,2022-05-20 22:54:51,45.7625,106.2708,64.31,28,16,4.5
286,Svobodnyy,RU,2022-05-20 22:51:54,51.4,128.1333,54.66,67,100,8.08
287,Arlit,NE,2022-05-20 22:54:51,18.7369,7.3853,86.2,26,36,6.76
288,Shiyan,CN,2022-05-20 22:54:52,32.6475,110.7781,65.05,72,100,1.59
289,San Cristobal,VE,2022-05-20 22:54:52,7.7669,-72.225,80.78,73,23,4.05
290,Bubaque,GW,2022-05-20 22:54:52,11.2833,-15.8333,79.14,80,16,16.96
291,Klaksvik,FO,2022-05-20 22:54:52,62.2266,-6.589,49.12,96,100,15.48
292,Mareeba,AU,2022-05-20 22:54:53,-17.0,145.4333,73.44,81,25,3.91
293,Ancud,CL,2022-05-20 22:54:53,-41.8697,-73.8203,52.03,92,98,17.31
294,Lira,UG,2022-05-20 22:54:53,2.235,32.9097,65.25,97,95,3.6
