City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
295,Santos Dumont,BR,-21.4567,-43.5525,69.12,51,6,6.04,clear sky
296,Colares,PT,38.7992,-9.4469,70.29,75,75,25.01,broken clouds
297,Wajima,JP,37.4,136.9,59.72,90,31,9.46,scattered clouds
298,Darhan,MN,49.4867,105.9228,64.13,36,16,9.8,few clouds
299,Sorland,NO,67.667,12.6934,48.06,96,100,9.28,overcast clouds
300,Klaksvik,FO,62.2266,-6.589,50.92,87,75,6.78,broken clouds
301,Karratha,AU,-20.7377,116.8463,78.26,73,100,4.85,overcast clouds
302,Zhigansk,RU,66.7697,123.3711,35.28,87,39,6.15,scattered clouds
303,Olafsvik,IS,64.8945,-23.7142,44.82,74,43,13.85,scattered clouds
304,Karaton,ID,-6.3424,106.1045,74.79,93,99,1.81,light rain
305,Gamba,GA,-2.65,10.0,78.17,73,43,8.88,scattered clouds
306,Bien Hoa,VN,10.95,106.8167,78.78,95,100,8.19,light rain
307,Coquimbo,CL,-29.9533,-71.3436,56.93,82,20,2.3,few clouds
308,Senekal,ZA,-28.3197,27.6208,54.79,62,90,5.7,overcast clouds
309,Kamina,CD,-8.7386,24.9906,74.12,57,99,4.03,overcast clouds
310,Zhezkazgan,KZ,47.8043,67.7144,53.64,29,4,7.99,clear sky
311,Goure,NE,13.9835,10.2704,102.02,8,49,13.18,scattered clouds
312,Polyarnyy,RU,69.1989,33.4478,40.19,76,100,16.11,overcast clouds
313,Ust-Kan,RU,50.9276,84.761,55.54,74,56,4.94,broken clouds
314,Longyearbyen,SJ,78.2186,15.6401,37.24,75,75,6.91,broken clouds
315,Nizwa,OM,22.9333,57.5333,95.76,9,1,4.5,clear sky
316,Pitimbu,BR,-7.4706,-34.8086,77.59,71,36,19.69,scattered clouds
317,Chifeng,CN,42.2683,118.9636,67.82,47,100,2.89,overcast clouds
318,Tongliao,CN,43.6125,122.2653,67.84,35,18,9.57,few clouds
319,Saint-Philippe,RE,-21.3585,55.7679,74.79,78,45,11.97,scattered clouds
320,Komsomolskiy,UZ,40.4272,71.7189,61.52,51,40,4.61,scattered clouds
321,Bamiantong,CN,44.9333,130.5333,49.55,75,46,3.0,scattered clouds
322,Kentau,KZ,43.5206,68.5094,59.92,37,100,4.07,overcast clouds
323,Vao,NC,-22.6667,167.4833,73.83,88,54,10.6,broken clouds
324,Eydhafushi,MV,5.1033,73.0708,83.57,77,33,13.98,scattered clouds
325,Shaunavon,CA,49.6501,-108.4181,46.18,34,11,9.6,few clouds
326,Copiapo,CL,-27.3667,-70.3333,56.89,26,1,5.32,clear sky
327,Camana,PE,-16.6228,-72.7111,68.52,77,79,9.62,broken clouds
328,Rodionovo-Nesvetayskaya,RU,47.6103,39.7121,59.56,81,100,12.82,overcast clouds
329,Dubrovka,RU,53.6907,33.5071,51.71,66,82,8.97,broken clouds
330,Nagram,IN,26.6167,81.1333,86.05,48,7,15.28,clear sky
331,Muroto,JP,33.2833,134.15,68.16,72,0,10.22,clear sky
332,Nairn,GB,57.5809,-3.8797,66.06,65,20,19.57,few clouds
333,Lesnoye,RU,58.2841,35.5158,48.65,46,93,6.13,overcast clouds
334,Wanaka,NZ,-44.7,169.15,34.11,82,5,1.01,clear sky
335,Yulara,AU,-25.2406,130.9889,58.21,38,53,7.09,broken clouds
336,Pevek,RU,69.7008,170.3133,33.69,88,17,10.96,few clouds
337,Ojinaga,MX,29.5667,-104.4167,78.42,43,0,20.71,clear sky
